,1,2,3,4,5,6,7,8
A,16.96,16.81,17.61,13.98,14.71,17.56,16.83,18.03
B,17.92,17.45,18.32,14.49,14.73,17.64,16.96,18.24
C,17.49,17.2,18.21,14.52,14.82,17.57,16.8,18.47
D,17.97,16.97,18.23,14.55,14.67,17.48,17.47,18.46
E,17.7,16.83,18.28,14.43,14.97,17.66,17.24,18.28
F,17.68,17.0,18.12,14.8,14.68,17.48,17.02,18.45
G,17.53,17.05,18.52,14.33,14.68,17.67,17.03,18.07
H,17.52,17.42,17.99,13.74,14.25,17.06,17.04,18.16
